"head", "tail"
"가게001", "규모"001
"가게001", "물건"001
"가게001", "파다"001
"가게001", "집"001
"가게002", "길거리"001
"가게002", "임시"002
"가게002", "물건"001
"가게002", "벌이다"001
"가게002", "파다"001
"가게002", "곳"001
"가겟집001", "가게"001
"가겟집001", "벌이다"001
"가겟집001", "장사"001
"가겟집001", "하다"001
"가겟집001", "집"001
"가겟집002", "가게"001
"가겟집002", "쓰다"002
"가겟집002", "집"001
"가격003", "물건"001
"가격003", "지니다"001
"가격003", "가치"006
"가격003", "돈"001
"가격003", "나타내다"001
"가구007", "집안"001
"가구007", "살림"001
"가구007", "쓰다"002
"가구007", "기구"015
"가구007", "장롱"001
"가구007", "비교"001
"가구007", "제품"002
"가구007", "이른다"001
"가까이001", "지점"003
"가까이001", "거리"001
"가까이001", "떨어지다"001
"가까이001", "상태"001
"가까이004", "곳"001
"가까이하다001", "사람"001
"가까이하다001", "사람"001
"가까이하다001", "사이"001
"가까이하다001", "관계"005
"가까이하다001", "친밀"001
"가까이하다001", "하다"001
"가까이하다002", "하다"001
"가까이하다002", "즐기다"001
"가깝다001", "곳"001
"가깝다001", "곳"001
"가깝다001", "거리"001
"가깝다002", "서로"001
"가깝다002", "사이"001
"가깝다002", "다정"002
"가깝다005", "시간"004
"가깝다005", "오다"001
"가깝다006", "촌수"001
"가끔001", "시간"004
"가끔001", "간격"002
"가끔001", "얼마"001
"가난001", "살림살이"001
"가난001", "상태"001
"가난뱅이001", "가난"001
"가난뱅이001", "사람"001
"가난뱅이001", "낮잡다"001
"가난뱅이001", "이르다"001
"가난뱅이001", "말"001
"가늘다001", "물체"001
"가늘다001", "지름"002
"가늘다001", "보통"001
"가늘다001", "경우"003
"가늘다001", "미치다"002
"가늘다002", "소리"001
"가늘다002", "울림"001
"가늘다002", "보통"001
"가늘다002", "미치다"002
"가늘다006", "사이"001
"가능001", "하다"001
"가능001", "있다"001
"가능001", "되다"001
"가능001", "있다"001
"가다001", "곳"001
"가다001", "곳"001
"가다001", "장소"005
"가다001", "이동"003
"가다002", "수레"001
"가다002", "배"001
"가다002", "자동차"001
"가다002", "비행기"001
"가다002", "운행"002
"가다002", "다니다"001
"가다007", "물건"001
"가다007", "권리"001
"가다007", "옮기다"001
"가다008", "관심"001
"가다008", "눈길"001
"가다008", "쏠리다"001
"가다009", "말"001
"가다009", "소식"004
"가다009", "알리다"001
"가다009", "전하다"001
"가다025", "사람"001
"가다025", "죽다"001
"가득히001", "분량"001
"가득히001", "수효"002
"가득히001", "범위"001
"가득히001", "한도"002
"가득히001", "차다"002
"가득히002", "비다"001
"가득히002", "사람"001
"가득히002", "물건"001
"가득히003", "냄새"001
"가득히003", "빛"001
"가득히003", "공간"005
"가득히003", "퍼지다"001
"가득히003", "상태"001
"가득히004", "감정"006
"가득히004", "정서"010
"가득히004", "생각"001
"가락005", "목소리"001
"가락005", "높낮이"001
"가락005", "길이"001
"가락005", "통하다"001
"가락005", "느끼다"002
"가락005", "말"001
"가락005", "기운"001
"가락006", "음악"001
"가락006", "통일"002
"가락006", "이루다"001
"가락006", "음"001
"가락006", "연속"002
"가락006", "노랫가락"001
"가락006", "세다"003
"가락006", "단위"002
"가락007", "소리"001
"가락007", "높낮이"001
"가락007", "길"001
"가락007", "리듬"001
"가락007", "어울리다"001
"가락007", "나타나다"001
"가락007", "음"001
"가락007", "흐름"001
"가락007", "한자"002
"가락007", "빌리다"001
"가락007", "적다"001
"가락007", "한다"001
"가랑잎001", "나무"001
"가랑잎001", "떨어지다"001
"가랑잎001", "마르다"001
"가랑잎001", "잎"002
"가렵다001", "피부"002
"가렵다001", "긁다"001
"가렵다001", "느낌"001
"가렵다001", "있다"001
"가령007", "가정"006
"가령007", "말"001
"가로001", "왼쪽"001
"가로001", "오른쪽"001
"가로001", "NA"001
"가로001", "방향"001
"가로001", "길이"001
"가로002", "왼쪽"001
"가로002", "오른쪽"001
"가로002", "방향"001
"가로002", "옆"001
"가로수001", "거리"001
"가로수001", "미관"003
"가로수001", "국민"001
"가로수001", "보건"002
"가로수001", "위하다"001
"가로수001", "길"001
"가로수001", "따르다"001
"가로수001", "줄지다"001
"가로수001", "심다"001
"가로수001", "나무"001
"가루001", "물건"001
"가루001", "보다"002
"가루001", "정도"011
"가루001", "부수다"001
"가루001", "갈다"002
"가루001", "만들다"001
"가루약001", "가루"001
"가루약001", "되다"001
"가루약001", "약"007
"가루우유001", "우유"002
"가루우유001", "속"001
"가루우유001", "수분"003
"가루우유001", "증발"001
"가루우유001", "농축"002
"가루우유001", "가루"001
"가루우유001", "만들다"001
"가마솥001", "솥"001
"가만가만001", "움직임"001
"가만가만001", "드러나다"001
"가만히001", "움직이다"001
"가만히001", "말"001
"가만히003", "마음"001
"가만히003", "가다듬다"001
"가만히004", NA001
"가뭄001", "오랫동안"001
"가뭄001", "계속"004
"가뭄001", "비"001
"가뭄001", "내리다"001
"가뭄001", "날씨"001
"가방001", "물건"001
"가방001", "넣다"001
"가방001", "들다"001
"가방001", "메다"002
"가방001", "다니다"001
"가방001", "있다"001
"가방001", "만들다"001
"가방001", "용구"001
"가방001", "가죽"001
"가방001", "비닐"001
"가방001", "만든다"001
"가볍다001", "무게"001
"가볍다001", "일반"002
"가볍다001", "기준"003
"가볍다001", "되다"001
"가볍다001", "대상"011
"가볍다002", "비중"001
"가볍다002", "가치"006
"가볍다002", "책임"001
"가볍다002", "적다"001
"가볍다003", "죄과"001
"가볍다003", "실수"001
"가볍다006", "몸"001
"가볍다006", "손발"001
"가볍다006", "움직임"001
"가볍다006", "재다"002
"가볍다012", "소리"001
"가볍다012", "색깔"001
"가볍다013", "세금"001
"가볍다013", "잘못"001
"가볍다013", "대하다"002
"가볍다013", "대가"006
"가볍다013", "치르다"001
"가볍다013", "형량"001
"가볍다013", "벌금"001
"가볍다015", "마음"001
"가사011", "가곡"001
"가사011", "가요"002
"가사011", "오페라"001
"가사011", "불리다"004
"가사011", "전제"014
"가사011", "하다"001
"가사011", "쓰이다"001
"가사011", "글"001
"가수015", "노래"001
"가수015", "부르다"001
"가수015", "직업인"001
"가수015", "사람"001
"가스001", "기체"005
"가스001", "물질"002
"가스001", "이르다"001
"가스001", "말"001
"가스002", "연료"001
"가스002", "사용"004
"가스002", "기체"005
"가스003", "살상"001
"가스003", "무기"005
"가스003", "사용"004
"가스003", "기체"005
"가스004", "소화"006
"가스004", "기관"011
"가스004", "내용물"001
"가스004", "부패"004
"가스004", "생기다"001
"가스004", "기체"005
"가슴001", "배"001
"가슴001", "목"001
"가슴001", "사이"001
"가슴001", "앞부분"001
"가슴002", "목과"002
"가슴002", "가로막"001
"가슴002", "사이"001
"가슴002", "부분"001
"가슴002", "심장"002
"가슴002", "허파"001
"가슴002", "있다"001
"가슴003", "등뼈"001
"가슴003", "갈비뼈"001
"가슴003", "가슴뼈"001
"가슴003", "가로막"001
"가슴003", "이루어지다"001
"가슴003", "원통"003
"가슴003", "모양"002
"가슴003", "부분"001
"가슴003", "심장"002
"가슴003", "허파"001
"가슴003", "식도"002
"가슴003", "보호"001
"가슴003", "흉근"002
"가슴003", "운동"002
"가슴003", "호흡"001
"가슴003", "운동"002
"가슴003", "돕다"001
"가슴004", "마음"001
"가슴004", "생각"001
"가슴005", "윗옷"001
"가슴005", "가슴"001
"가슴005", "부분"001
"가슴006", "여자"002
"가슴006", "젖"001
"가슴006", "이르다"001
"가슴006", "말"001
"가슴007", "절지동물"001
"가슴007", "가슴"001
"가슴007", "부분"001
"가슴007", "마디"001
"가슴속001", "마음"001
"가슴속001", "속"001
"가시001", "바늘"001
"가시001", "하다"001
"가시001", "돋치다"001
"가시002", "물고기"001
"가시002", "잔뼈"001
"가시003", "살"004
"가시003", "박히다"001
"가시003", "나무"001
"가시003", "거스러미"001
