key,subnodes
"ㄱㄴㄷ순001",10
"ㄱㄴㄷ차례001",10
"ㄱㄴ순001",10
"ㄱㄴ차례001",10
"ㄱ자관001",3
"ㄱ자관002",3
"ㄱ자관003",2
"ㄱ자자001",7
"ㄱ자집001",3
"ㄱ자턱솔홈001",5
"ㄱ자홈001",5
"ㄷ자관001",2
"ㄹ자집001",2
"ㅁ자집001",4
"ㅃ001",3
"ㅆ001",3
"ㅉ001",3
"가005",3
"가009",2
"가011",3
"가012",3
"가가004",7
"가가대소001",3
"가가대소하다001",2
"가가문전001",5
"가가방001",7
"가가호호001",5
"가각하다001",3
"가간001",10
"가간사001",6
"가간사002",6
"가간섭광001",2
"가간섭성001",2
"가간집물001",8
"가감001",2
"가감002",2
"가감례001",2
"가감법002",2
"가감부득001",2
"가감산001",2
"가감소거법001",2
"가감죄례001",2
"가감판001",2
"가객001",12
"가객002",2
"가갸글001",6
"가갸뒤풀이001",6
"가거003",2
"가거004",3
"가거주001",3
"가거주자001",2
"가거지001",3
"가거지지001",3
"가거처001",3
"가거하다003",2
"가건축물001",2
"가검001",2
"가검출성001",4
"가게001",7
"가게내기001",4
"가겟방002",7
"가겟집001",2
"가격002",6
"가격003",10
"가격대001",2
"가격분리방식001",3
"가격수정요인001",2
"가격엔지니어링001",2
"가격인덱세이션001",3
"가격존001",2
"가격표001",2
"가견하다001",3
"가결001",2
"가결003",2
"가결004",2
"가결하다001",2
"가경003",3
"가경004",2
"가경005",8
"가경010",2
"가경011",3
"가경일001",2
"가경자003",3
"가경절001",2
"가경제001",3
"가계002",3
"가계010",2
"가계012",2
"가계도001",2
"가계례001",2
"가계비001",2
"가계정001",2
"가계표001",2
"가계하다002",2
"가곡002",2
"가곡004",3
"가골001",4
"가공003",2
"가공005",2
"가공물001",2
"가공삭도001",5
"가공선002",2
"가공영사001",2
"가공영사하다001",2
"가공의치001",2
"가공주001",3
"가공치001",2
"가공품001",2
"가공하다003",2
"가공하다005",2
"가과002",2
"가과003",4
"가곽001",2
"가관004",2
"가관005",3
"가관006",2
"가관007",3
"가관절001",3
"가관절증001",3
"가교004",2
"가교005",4
"가교009",5
"가교010",2
"가구006",2
"가구009",2
"가구010",6
"가구011",2
"가구경001",3
"가구경행001",2
"가구상001",3
"가구소001",2
"가구옥001",2
"가구자001",2
"가구장이001",2
"가구점001",3
"가구주001",2
"가국002",2
"가군001",12
"가군002",2
"가권001",2
"가권002",12
"가귀노름001",2
"가귀노름하다001",2
"가귀대기001",2
"가귀대기하다001",2
"가규001",3
"가균사체001",4
"가그라001",2
"가그리001",2
"가극001",5
"가극003",3
"가극단001",2
"가극안치001",5
"가극찬배001",5
"가근001",2
"가근방001",14
"가금001",9
"가금002",4
"가금003",4
"가금나선균증001",2
"가금인플루엔자001",3
"가금하다001",3
"가급001",3
"가급004",2
"가급되다001",2
"가급유001",2
"가급유하다001",2
"가급적002",6
"가급태001",2
"가급하다001",2
"가급하다004",2
"가긍하다001",8
"가기001",2
"가기004",10
"가기005",6
"가기007",2
"가기011",3
"가기012",2
"가기014",10
"가기015",2
"가기016",7
"가기판001",2
"가기하다001",2
"가까스로001",2
"가까운마당001",3
"가까이001",3
"가까이004",14
"가까이하다001",2
"가까이하다002",2
"가깝다001",2
"가깝다002",2
"가깝다005",2
"가깝다006",2
"가꾸러뜨리다001",2
"가꾸러뜨리다002",2
"가꾸러뜨리다003",2
"가꾸러트리다001",2
"가꾸러트리다002",2
"가꾸러트리다003",2
"가끔001",3
"가나다순001",10
"가나다차례001",10
"가나오나001",2
"가나이트001",2
"가나파티001",3
"가난001",2
"가납003",2
"가납기언001",2
"가납기언하다001",2
"가납하다003",2
"가내001",3
"가내사001",6
"가내시001",3
"가냘프다001",2
"가냘프다002",2
"가네샤001",3
"가넷001",3
"가넷기001",3
"가녀리다001",2
"가녀리다002",2
"가녘001",2
"가노002",2
"가농작001",3
"가는개발나물001",2
"가는개여뀌001",2
"가는고리001",4
"가는고비001",3
"가는관001",2
"가는눈001",2
"가는대001",4
"가는벗풀001",2
"가는베001",3
"가는보풀001",2
"가는섬유기001",2
"가는소금001",3
"가는쑥부쟁이001",2
"가는오이풀001",2
"가는잎개별꽃001",2
"가는잎보리장나무001",2
"가는잎산들깨001",2
"가는잎쐐기풀001",3
"가는잎잔대001",2
"가는잎천선과001",2
"가는잎할미꽃001",4
"가는장대001",2
"가는체001",3
"가는털단백질001",2
"가는틈001",2
"가는할미꽃001",4
"가는허리001",3
"가늘다001",2
"가늘다002",2
"가늘다006",2
"가늠구멍001",2
"가늠자001",3
"가늠추001",2
"가늠추002",2
"가능001",2
"가능권001",2
"가능성001",2
"가능주의001",2
"가능하다001",2
"가능해001",4
"가니마001",3
"가니메데002",2
"가니메데스001",2
"가니튀르001",2
"가닐가닐하다001",3
"가닐가닐하다002",3
"가닐거리다001",3
"가닐거리다002",3
"가닐대다001",3
"가닐대다002",3
"가닛001",3
"가다001",2
"가다002",2
"가다007",2
"가다008",2
"가다009",2
"가다025",19
"가다랑어포001",2
"가닥가닥002",2
"가닥가닥이001",2
"가단주철001",2
"가단철001",2
"가담002",2
"가담항설001",6
"가담항어001",6
"가담항의001",6
"가대인001",12
"가덕001",4
"가도002",4
"가도004",2
"가도008",2
"가도009",3
"가도관001",2
"가도교001",2
"가도련001",2
"가도련하다001",2
"가도조001",2
"가돈001",5
"가돌리나이트001",2
"가돌린석001",2
"가동가동하다001",3
"가동가서001",2
"가동거리다001",3
"가동교001",2
"가동대다001",3
"가동댐001",2
"가동맥류001",3
"가동언001",2
"가동이001",2
"가동이하다001",2
"가동질001",2
"가동질하다001",2
"가두001",2
"가두녹음001",2
"가두데모001",3
"가두시위001",3
"가두판매001",2
"가두판매되다001",2
"가두판매하다001",2
"가둠001",3
"가둥가둥하다001",3
"가둥거리다001",3
"가둥대다001",3
"가드락가드락하다001",3
"가드락거리다001",3
"가드락대다001",3
"가득001",4
"가득002",2
"가득003",2
"가득004",2
"가득가득001",2
"가득가득002",2
"가득가득003",2
"가득가득004",2
"가득가득히001",2
"가득가득히002",2
"가득가득히003",2
"가득가득히004",2
"가득액001",2
"가득히001",4
"가득히002",2
"가득히003",2
"가득히004",2
"가든002",6
"가든가든001",2
"가든가든002",2
"가든가든히001",2
"가든가든히002",2
"가든그뜨리다001",2
"가든그트리다001",2
"가들가들하다001",3
"가들거리다001",3
"가들대다001",3
"가들막가들막하다001",3
"가들막거리다001",3
"가들막대다001",3
"가딩001",6
"가뜩001",2
"가뜩002",2
"가뜩003",2
"가뜩004",2
"가뜩005",3
"가뜩가뜩001",2
"가뜩가뜩002",2
"가뜩가뜩003",2
"가뜩가뜩004",2
"가뜩가뜩이001",2
"가뜩가뜩이002",2
"가뜩가뜩이003",2
"가뜩가뜩이004",2
"가뜩이001",2
"가뜩이002",2
"가뜩이003",2
"가뜩이004",2
"가뜩이005",3
"가뜩이나001",3
"가뜬가뜬001",2
"가뜬가뜬002",2
"가뜬가뜬히001",2
"가뜬가뜬히002",2
"가라001",11
"가라002",4
"가라국001",11
"가라마001",5
"가라말001",5
"가라빈가001",12
"가라앉음측정기001",2
"가라어001",2
"가라치001",2
"가라한001",4
"가락001",4
"가락006",3
"가락007",4
"가락009",11
"가락가락001",2
"가락가락이001",2
"가락고동001",4
"가락고리001",4
"가락국001",11
"가락꼬치001",4
"가락꼴001",7
"가락덜이001",2
"가락바퀴002",4
"가락뼈001",3
"가락염001",2
"가락옷001",2
"가락지001",5
"가락지002",2
"가락지나물001",2
"가락청001",2
"가란잠001",2
"가란침못001",4
"가란화잠001",2
"가람001",4
"가람신001",4
"가람조001",8
"가랑가랑하다005",3
"가랑가랑하다007",3
"가랑거리다001",3
"가랑거리다002",3
"가랑눈001",3
"가랑대다001",3
"가랑대다002",3
"가랑머리001",3
"가랑비001",4
"가랑잎001",2
"가래007",6
"가래008",3
"가래나무001",2
"가래침001",3
"가래침002",3
"가랫대001",2
"가랫자루001",2
"가랫장부001",2
"가량002",11
"가량국001",11
"가려륵001",3
"가려막기001",3
"가려막기002",2
"가려막이001",2
"가려베기001",3
"가려움약001",2
"가려움증001",3
"가려잡다001",2
"가려잡다002",2
"가려하다001",2
"가려하다003",2
"가려하다004",5
"가련하다001",8
"가렴002",2
"가렵다001",2
"가령001",2
"가령003",2
"가령007",3
"가례003",3
"가례빗001",2
"가례색001",2
"가로001",5
"가로002",2
"가로005",3
"가로006",6
"가로결001",5
"가로결장001",4
"가로글씨001",7
"가로금001",2
"가로길이001",2
"가로나비001",2
"가로누이다001",2
"가로누이다002",2
"가로눕히다001",2
"가로눕히다002",2
"가로능선001",2
"가로닫이창001",2
"가로대001",3
"가로대002",2
"가로대003",2
"가로대006",8
"가로대007",2
"가로돌기001",2
"가로돌기가시근001",2
"가로돛001",2
"가로둑001",2
"가로등001",2
"가로띠001",4
"가로막001",2
"가로막002",4
"가로막면001",2
"가로막배가지001",2
"가로막살001",2
"가로막염001",2
"가로목001",2
"가로목동맥001",2
"가로무늬001",6
"가로무늬근001",2
"가로무늬근종001",2
"가로무늬살001",2
"가로문자001",7
"가로분열001",2
"가로선001",6
"가로선003",2
"가로세로001",3
"가로세로비002",4
"가로세로비변환기능001",2
"가로수001",2
"가로쓰기001",5
"가로쓰기하다001",5
"가로쓰다001",2
"가로압력001",3
"가로외001",3
"가로자리표001",7
"가로잘록창자001",4
"가로잡이001",2
"가로장001",3
"가로재001",2
"가로좌표001",7
"가로줄001",6
"가로줄003",2
"가로줄기001",3
"가로줄눈001",3
"가로지001",3
"가로지002",2
"가로지다001",2
"가로짜기001",4
"가로차다001",2
"가로차다002",2
"가로차다003",2
"가로창자001",4
"가로채기001",4
"가로채다001",2
"가로채다002",2
"가로채다003",2
"가로축001",8
"가로침식001",2
"가로코001",2
"가로태위001",2
"가로톱001",3
"가로파001",5
"가로파동001",5
"가로판벽001",3
"가로회001",2
"가로획001",3
"가록003",3
"가롱성진001",2
"가뢰001",7
"가뢰002",2
"가료001",2
"가료002",3
"가루001",3
"가루006",12
"가루내기001",2
"가루내기하다001",2
"가루누룩001",3
"가루눈002",2
"가루다003",3
"가루라001",3
"가루모래001",5
"가루모이001",2
"가루받이001",4
"가루받이나무001",3
"가루받이하다001",3
"가루붙이002",2
"가루뿌리개001",2
"가루사탕001",4
"가루수프001",5
"가루약001",9
"가루우유001",5
"가루음식001",2
"가루자반001",2
"가루젖001",5
"가루지기타령001",4
"가루질001",2
"가루차001",3
"가루철001",2
"가루탄001",2
"가룻국002",3
"가류001",3
"가류유001",2
"가류하다001",2
"가르개001",2
"가르니튀르001",2
"가르랑가르랑하다001",3
"가르랑거리다001",3
"가르랑대다001",3
"가르새001",2
"가르트너관001",2
"가른돌001",2
"가른돌002",2
"가름005",2
"가름끈001",2
"가름대001",2
"가름대002",3
"가름대003",2
"가름도움줄기001",2
"가름돌001",2
"가름돌002",2
"가름둑001",2
"가름솔001",3
"가름씨끝001",3
"가릉빈가001",12
"가리004",4
"가리008",4
"가리009",2
"가리015",2
"가리개001",2
"가리기001",2
"가리륵001",3
"가리마001",3
"가리맛001",8
"가리맛조개001",8
"가리비001",3
"가리산지리산001",3
"가리새001",4
"가리새002",4
"가리알001",3
"가리촌001",2
"가린병아리001",2
"가린하다001",2
"가림법001",2
"가림빛001",4
"가림색001",4
"가림성001",2
"가마001",2
"가마002",3
"가마003",5
"가마004",2
"가마006",3
"가마009",2
"가마011",2
"가마014",2
"가마굴001",2
"가마꾼001",10
"가마니001",2
"가마니때기001",2
"가마때기001",2
"가마솥001",2
"가마솥더위001",2
"가마솥무더위001",2
"가마싸움001",2
"가마우지002",5
"가마지기001",10
"가마쿠라001",2
"가마쿠라시001",2
"가마타기001",2
"가마하다001",2
"가막부리001",6
"가막사리001",3
"가막조개001",10
"가만001",2
"가만003",2
"가만004",2
"가만가만001",2
"가만가만히001",2
"가만빛001",2
"가만색001",2
"가만히001",2
"가만히003",2
"가만히004",2
"가망001",2
"가망004",2
"가망거리001",2
"가망신001",2
"가매006",6
"가매장001",2
"가매장되다001",2
"가매장하다001",2
"가맹002",2
"가맹사001",2
"가맹회사001",2
"가메토고니001",3
"가메트001",6
"가면002",4
"가면극001",2
"가면무001",3
"가면무도002",2
"가면무도회001",2
"가면무용001",2
"가멸다001",2
"가명002",2
"가명003",2
"가명005",3
"가명008",2
"가명보살001",3
"가모001",12
"가모거니001",3
"가모장001",2
"가모제001",2
"가모제네시스001",2
"가목002",5
"가목004",5
